<<<<<<< HEAD
"OU","Login","Prenom","Nom"
"Stagiaires","adupont","Alice","Dupont"
"Stagiaires","slemoine","Sarah","Lemoine"
"Stagiaires","kbenali","Karim","Benali"
"Stagiaires","isidhom","Ikram","Sidhom"
"Stagiaires","sdiarra","Siga","Diarra"
=======
"Login","Prenom","OU","Nom"
"adupont","Alice","Stagiaires","Dupont"
"slemoine","Sarah","Stagiaires","Lemoine"
"kbenali","Karim","Stagiaires","Benali"
"isidhom","Ikram","Stagiaires","Sidhom"
"sdiarra","Siga","Stagiaires","Diarra"
>>>>>>> e531e11938a31f19675ed2afb245165b0b97d956
